method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.5996488147497805,0.1,8.0,0.0,True,8
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.5831055221432476,0.1,8.0,0.0,True,9
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.5716873706004141,0.1,8.0,0.0,True,10
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.898,0.1,8.0,0.0,True,1
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.829979879275654,0.1,8.0,0.0,True,2
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.7711006076975017,0.1,8.0,0.0,True,3
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.7113507960965588,0.1,8.0,0.0,True,4
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.6762105263157895,0.1,8.0,0.0,True,5
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.6417208966015907,0.1,8.0,0.0,True,6
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.6200901481004507,0.1,8.0,0.0,True,7
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.6025338833235121,0.1,8.0,0.0,True,8
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.5854865310610226,0.1,8.0,0.0,True,9
"CLIP,ms=0.1,r=8,al=0.0,ts=True",2,0.5765531583051728,0.1,8.0,0.0,True,10
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.88,0.1,8.0,0.0,True,1
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.806841046277666,0.1,8.0,0.0,True,2
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.7452702702702703,0.1,8.0,0.0,True,3
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.6946446961894953,0.1,8.0,0.0,True,4
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.6592249368155013,0.1,8.0,0.0,True,5
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.6356729377713459,0.1,8.0,0.0,True,6
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.6137463697967086,0.1,8.0,0.0,True,7
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.5898793762871433,0.1,8.0,0.0,True,8
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.573187414500684,0.1,8.0,0.0,True,9
"CLIP,ms=0.1,r=8,al=0.0,ts=True",3,0.5602690118986032,0.1,8.0,0.0,True,10
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.886,0.1,8.0,0.0,True,1
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.8365095285857572,0.1,8.0,0.0,True,2
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.7756883814640698,0.1,8.0,0.0,True,3
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.7207527975584944,0.1,8.0,0.0,True,4
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.6879403232490675,0.1,8.0,0.0,True,5
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.6531914893617021,0.1,8.0,0.0,True,6
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.6294191919191919,0.1,8.0,0.0,True,7
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.6172055427251733,0.1,8.0,0.0,True,8
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.6012948475856488,0.1,8.0,0.0,True,9
"CLIP,ms=0.1,r=8,al=0.0,ts=True",4,0.5891076451035541,0.1,8.0,0.0,True,10
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.926,0.1,16.0,0.0,True,1
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.8864321608040201,0.1,16.0,0.0,True,2
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.828167115902965,0.1,16.0,0.0,True,3
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.7809621289662231,0.1,16.0,0.0,True,4
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.733500417710944,0.1,16.0,0.0,True,5
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.6993908993192404,0.1,16.0,0.0,True,6
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.6731567187998724,0.1,16.0,0.0,True,7
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.6533644043110982,0.1,16.0,0.0,True,8
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.6344640434192673,0.1,16.0,0.0,True,9
"CLIP,ms=0.1,r=16,al=0.0,ts=True",0,0.6212121212121212,0.1,16.0,0.0,True,10
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.91,0.1,16.0,0.0,True,1
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.8547094188376754,0.1,16.0,0.0,True,2
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.8125,0.1,16.0,0.0,True,3
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.7691131498470948,0.1,16.0,0.0,True,4
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.7228011671529804,0.1,16.0,0.0,True,5
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.6877470355731226,0.1,16.0,0.0,True,6
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.6669868715978227,0.1,16.0,0.0,True,7
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.6450102429031314,0.1,16.0,0.0,True,8
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.6273920174958993,0.1,16.0,0.0,True,9
"CLIP,ms=0.1,r=16,al=0.0,ts=True",1,0.6159420289855072,0.1,16.0,0.0,True,10
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.912,0.1,16.0,0.0,True,1
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.8772635814889336,0.1,16.0,0.0,True,2
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.812288993923025,0.1,16.0,0.0,True,3
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.7663071391884951,0.1,16.0,0.0,True,4
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.728421052631579,0.1,16.0,0.0,True,5
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.6977584960231381,0.1,16.0,0.0,True,6
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.6670959433354797,0.1,16.0,0.0,True,7
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.6461402474955804,0.1,16.0,0.0,True,8
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.6322155030236394,0.1,16.0,0.0,True,9
"CLIP,ms=0.1,r=16,al=0.0,ts=True",2,0.6199636080062386,0.1,16.0,0.0,True,10
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.898,0.1,16.0,0.0,True,1
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.8611670020120724,0.1,16.0,0.0,True,2
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.8209459459459459,0.1,16.0,0.0,True,3
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.7729145211122554,0.1,16.0,0.0,True,4
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.7270429654591407,0.1,16.0,0.0,True,5
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.6931982633863966,0.1,16.0,0.0,True,6
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.6669893514036787,0.1,16.0,0.0,True,7
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.6443071491615181,0.1,16.0,0.0,True,8
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.6232558139534884,0.1,16.0,0.0,True,9
"CLIP,ms=0.1,r=16,al=0.0,ts=True",3,0.6122607346094154,0.1,16.0,0.0,True,10
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.926,0.1,16.0,0.0,True,1
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.8946840521564694,0.1,16.0,0.0,True,2
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.8428475486903962,0.1,16.0,0.0,True,3
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.7914547304170906,0.1,16.0,0.0,True,4
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.7484459179444675,0.1,16.0,0.0,True,5
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.7124113475177305,0.1,16.0,0.0,True,6
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.6875,0.1,16.0,0.0,True,7
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.6657043879907621,0.1,16.0,0.0,True,8
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.6503911518748314,0.1,16.0,0.0,True,9
"CLIP,ms=0.1,r=16,al=0.0,ts=True",4,0.6376885706980312,0.1,16.0,0.0,True,10
