Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@5,Recall@10,nDCG@5,nDCG@10,P50,P75,P90,P95
N/A,B/32,basic-mini,22.441,0.375,0.25,0.506,0.645,0.384,0.429,6.0,25.0,78.0,134.0
N/A,L/14,basic-base,14.97,0.459,0.326,0.598,0.708,0.474,0.51,4.0,16.0,51.0,84.05
N/A,L/14@336px,basic-large,13.03,0.477,0.341,0.641,0.736,0.5,0.531,3.0,13.0,43.0,73.0
cap-FR-1,L/14,february_finetuned,2.634,0.744,0.619,0.898,0.951,0.775,0.793,\textbf{1.0},\textbf{2.0},6.0,11.0
cap-FR-2 \& ico-FR,L/14,march_finetuned,2.305,0.785,0.667,0.936,0.971,0.818,0.83,\textbf{1.0},\textbf{2.0},\textbf{4.0},\textbf{7.0}
cap-TRI \& ico-TRI,B/32,art-mini,2.358,0.748,0.623,0.911,0.967,0.782,0.8,\textbf{1.0},3.0,6.0,9.0
cap-TRI \& ico-TRI,L/14,art-base,2.105,0.794,0.679,0.943,0.977,0.827,0.838,\textbf{1.0},\textbf{2.0},\textbf{4.0},\textbf{7.0}
cap-TRI \& ico-TRI,L/14@336px,art-large,\textbf{2.043},\textbf{0.817},\textbf{0.711},\textbf{0.947},\textbf{0.979},\textbf{0.846},\textbf{0.856},\textbf{1.0},\textbf{2.0},\textbf{4.0},\textbf{7.0}
