Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@3,nDCG@5,nDCG@10
N/A,B/32,basic-mini,21.443,0.349,0.226,0.383,0.478,0.593,0.319,0.358,0.395
N/A,L/14,basic-base,12.979,0.448,0.306,0.513,0.616,0.743,0.425,0.468,0.509
N/A,L/14@336px,basic-large,12.331,0.473,0.336,0.539,0.629,0.743,0.454,0.492,0.529
cap-FR-1,L/14,february_finetuned,3.648,0.715,0.591,0.805,0.882,0.939,0.717,0.748,0.767
cap-FR-2 \& ico-FR,L/14,march_finetuned,2.929,0.756,0.64,0.85,0.903,0.952,0.765,0.786,0.802
cap-TRI \& ico-TRI,B/32,art-mini,3.73,0.682,0.546,0.782,0.86,0.928,0.685,0.717,0.739
cap-TRI \& ico-TRI,L/14,art-base,\textbf{2.697},\textbf{0.772},\textbf{0.659},\textbf{\textbf{0.861}},\textbf{0.914},\textbf{0.959},\textbf{0.779},\textbf{0.801},\textbf{0.816}
cap-TRI \& ico-TRI,L/14@336px,art-large,2.839,0.766,0.656,0.849,0.911,0.957,0.77,0.796,0.811
