Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@3,nDCG@5,nDCG@10
N/A,B/32,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
N/A,L/14,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
N/A,L/14@336px,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
cap-FR-1,L/14,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
cap-FR-2 \& ico-FR,L/14,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
cap-TRI \& ico-TRI,B/32,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
cap-TRI \& ico-TRI,L/14,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
cap-TRI \& ico-TRI,L/14@336px,,nan,nan,nan,\textbf{nan},nan,nan,,nan,nan
