Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@3,nDCG@5,nDCG@10
N/A,B/32,basic-mini,93.093,0.096,0.036,0.092,0.137,0.21,0.068,0.086,0.11
N/A,L/14,basic-base,70.828,0.153,0.074,0.158,0.216,0.308,0.122,0.145,0.175
N/A,L/14@336px,basic-large,71.416,0.162,0.082,0.169,0.233,0.325,0.13,0.157,0.187
cap-FR-1,L/14,february_finetuned,31.686,0.275,0.159,0.294,0.396,0.538,0.237,0.279,0.324
cap-FR-2 \& ico-FR,L/14,march_finetuned,27.313,0.343,0.219,0.391,0.484,0.597,0.317,0.356,0.392
cap-TRI \& ico-TRI,B/32,art-mini,14.125,0.452,0.304,0.529,0.631,0.749,0.434,0.477,0.515
cap-TRI \& ico-TRI,L/14,art-base,\textbf{9.096},\textbf{0.562},\textbf{0.43},\textbf{\textbf{0.635}},\textbf{0.727},0.824,\textbf{0.55},\textbf{0.587},\textbf{0.619}
cap-TRI \& ico-TRI,L/14@336px,art-large,9.275,0.555,0.419,0.626,0.721,\textbf{0.825},0.54,0.58,0.613
