Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@5,Recall@10,nDCG@5,nDCG@10,P50,P75,P90,P95
Synthetic captions,L/14,sfocus__S_Caption,2.83,0.73,0.591,0.911,\textbf{0.968},0.769,0.787,\textbf{1.0},3.0,6.0,\textbf{9.0}
Synthetic captions + Synthetic colors,L/14,sfocus__S_Caption__S_Colors,2.924,0.74,0.608,0.914,0.964,0.777,0.794,\textbf{1.0},3.0,5.7,\textbf{9.0}
Synthetic captions + Synthetic emotions,L/14,sfocus__S_Caption__S_Emotions,3.088,0.72,0.578,0.9,0.94,0.758,0.772,\textbf{1.0},3.0,6.0,13.0
Synthetic captions + Synthetic luminosity,L/14,sfocus__S_Caption__S_Luminosity,3.388,0.732,0.601,0.905,0.951,0.77,0.784,\textbf{1.0},3.0,6.0,11.0
Synthetic captions + Synthetic objects,L/14,sfocus__S_Caption__S_Objects,\textbf{2.658},\textbf{0.768},\textbf{0.644},\textbf{0.927},0.965,\textbf{0.803},\textbf{0.816},\textbf{1.0},\textbf{2.0},\textbf{5.0},\textbf{9.0}
Real subject matter,L/14,sfocus__Subjectmatter,2.984,0.729,0.601,0.9,0.951,0.764,0.781,\textbf{1.0},3.0,6.0,12.0
