Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@3,nDCG@5,nDCG@10
N/A,B/32,basic-mini,7.292,0.577,0.448,0.644,0.736,0.829,0.564,0.601,0.632
N/A,L/14,basic-base,3.732,0.69,0.563,0.774,0.852,0.921,0.688,0.72,0.743
N/A,L/14@336px,basic-large,3.579,0.706,0.577,0.806,0.878,0.937,0.711,0.741,0.76
cap-FR-1,L/14,february_finetuned,2.352,0.796,0.697,0.879,0.931,0.967,0.803,0.825,0.837
cap-FR-2 \& ico-FR,L/14,march_finetuned,1.938,0.817,0.716,0.91,0.947,0.978,0.83,0.846,0.856
cap-TRI \& ico-TRI,B/32,art-mini,2.112,0.792,0.68,0.888,0.941,0.979,0.803,0.825,0.837
cap-TRI \& ico-TRI,L/14,art-base,\textbf{1.759},\textbf{0.841},\textbf{0.749},\textbf{\textbf{0.925}},\textbf{0.956},0.983,\textbf{0.854},\textbf{0.867},\textbf{0.876}
cap-TRI \& ico-TRI,L/14@336px,art-large,1.845,0.838,0.747,0.914,0.947,\textbf{0.985},0.848,0.861,0.874
